date,cases_new
2020-01-31,8
2020-02-29,21
2020-03-31,2737
2020-04-30,3236
2020-05-31,1817
2020-06-30,820
2020-07-31,337
2020-08-31,364
2020-09-30,1884
2020-10-31,20324
2020-11-30,34149
2020-12-31,47313
2021-01-31,101949
2021-02-28,85793
2021-03-31,44748
2021-04-30,63213
2021-05-31,163644
2021-06-30,179622
2021-07-31,361293
2021-08-31,632982
2021-09-30,249517
