date,cases_recovered
2020-01-31,0
2020-02-29,22
2020-03-31,514
2020-04-30,3634
2020-05-31,2182
2020-06-30,2001
2020-07-31,290
2020-08-31,410
2020-09-30,913
2020-10-31,11281
2020-11-30,33511
2020-12-31,34182
2021-01-31,77108
2021-02-28,107368
2021-03-31,56207
2021-04-30,48356
2021-05-31,112058
2021-06-30,192642
2021-07-31,231958
2021-08-31,547087
2021-09-30,284799
