Model_Name,Precision,Recall,F1_Score,Accuracy
Naive Bayers,0.81,0.76,0.77,0.76
K-Nearest Neighbors,0.86,0.83,0.83,0.83
SVM,0.82,0.79,0.79,0.79
Logit,0.73,0.68,0.68,0.68
CART,0.8,0.78,0.79,0.78
